Problem NumberWidth,Height,Number Islands,Nodes Visited,Time (ms),Max Memory (MiB)
809,96,83,624,3088,2.035888671875
810,65,87,728,4346,3.77001953125
811,71,93,1,6603,8.552001953125
812,76,55,484,2708,1.785888671875
813,75,74,529,2690,1.6171875
814,97,67,554,6154,5.450927734375
815,57,74,305,1470,0.908935546875
816,60,69,63,4123,4.16015625
817,84,67,713,3844,2.658935546875
818,73,69,202,1006,0.60400390625
819,54,95,72,339,0.341064453125
820,64,82,592,4879,4.383056640625
821,77,85,52,6536,6.842041015625
822,68,53,274,3498,3.281982421875
823,64,80,1,5120,6.892822265625
824,96,58,26,5562,6.0078125
825,70,74,520,2849,1.8798828125
826,80,70,707,4125,3.748046875
827,88,74,644,3296,2.112060546875
828,61,96,810,4432,3.928955078125
829,66,87,12,5741,6.583984375
830,68,53,363,3358,2.90087890625
831,94,74,1,6956,8.943115234375
832,60,80,387,4564,3.93701171875
833,84,52,589,3608,3.231201171875
834,92,69,824,4898,4.284912109375
835,67,93,589,5934,5.869873046875
836,82,56,517,2705,2.001220703125
837,82,79,8,6475,8.10400390625
838,73,81,429,2131,1.31982421875
839,52,61,2,3171,3.89892578125
840,92,68,531,6036,5.469970703125
841,56,61,63,3395,3.35107421875
842,98,54,13,5290,5.906005859375
843,60,67,1,4020,5.444091796875
844,70,65,4,4550,5.208984375
845,83,91,990,6101,5.512939453125
846,67,68,625,3581,2.465087890625
847,89,58,300,5009,4.52294921875
848,58,86,25,4984,5.47802734375
849,60,78,485,4369,3.865966796875
850,72,66,280,4618,4.06298828125
851,100,76,927,6270,5.5
852,84,95,1044,6357,5.52783203125
853,85,93,53,7887,8.531005859375
854,51,66,38,184,0.2080078125
855,56,100,533,5278,4.72900390625
856,97,62,670,3404,2.27294921875
857,91,77,900,5471,4.8369140625
858,78,59,75,4578,4.419921875
859,100,80,539,2678,1.62890625
860,51,93,17,4734,5.02294921875
861,60,97,3,5819,6.98583984375
862,91,56,3,5095,6.14306640625
863,96,90,14,8636,9.718994140625
864,62,98,4,6076,7.259033203125
865,65,64,22,4157,4.430908203125
866,58,86,60,4975,4.93408203125
867,71,88,91,6218,6.14794921875
868,50,57,160,2763,2.4609375
869,96,98,1,9408,12.092041015625
870,61,86,567,4704,4.02294921875
871,94,66,4,6202,7.16796875
872,78,66,460,4885,4.258056640625
873,87,71,465,5984,5.469970703125
874,95,69,7,6555,7.32421875
875,64,63,539,3332,2.338134765625
876,91,67,29,6095,6.739990234375
877,75,69,502,4853,4.2431640625
878,99,60,134,683,0.509033203125
879,94,80,6,7520,8.81298828125
880,61,67,7,4082,4.47412109375
881,79,90,138,7052,6.93408203125
882,77,53,515,3495,3.073974609375
883,85,88,534,2698,1.788818359375
884,74,98,1,7252,9.157958984375
885,82,55,352,1687,1.02001953125
886,73,93,289,6666,6.19189453125
887,98,53,131,5164,4.948974609375
888,80,77,329,1642,1.032958984375
889,58,70,378,1877,1.120849609375
890,59,80,329,1614,1.001220703125
891,71,90,818,5059,4.52880859375
892,95,66,715,5708,5.64599609375
893,72,83,612,5546,4.910888671875
894,71,61,52,4322,4.469970703125
895,52,56,13,2909,3.06494140625
896,66,83,442,2255,1.35498046875
897,65,99,7,6435,7.465087890625
898,60,60,408,2080,1.23486328125
899,56,58,1,3248,3.991943359375
900,65,74,31,4805,5.10400390625
901,62,67,129,4116,3.7841796875
902,83,64,8,5310,5.989990234375
903,67,54,388,2057,1.222900390625
904,95,99,2,9405,11.80810546875
905,74,57,551,3033,2.037109375
906,75,63,486,2527,1.54296875
907,73,87,324,6238,5.844970703125
908,97,89,2,8633,10.578125
909,86,92,528,7679,6.947021484375
910,67,75,55,5009,5.077880859375
911,56,74,417,3865,3.525146484375
912,91,54,45,4898,5.0849609375
913,93,88,885,4620,4.093994140625
914,64,55,439,2438,1.47705078125
915,65,96,1,6240,8.31787109375
916,81,96,1,7776,9.955078125
917,62,63,392,1990,1.234130859375
918,86,59,484,2449,1.48193359375
919,72,67,616,4055,3.52001953125
920,99,56,5,5544,6.699951171875
921,57,87,549,4583,4.05615234375
922,83,86,19,7131,8.134033203125
923,73,57,514,3708,3.244873046875
924,55,58,50,3177,3.130126953125
925,91,57,287,5040,4.60498046875
926,78,95,2,7410,9.286865234375
927,55,69,15,3791,4.05908203125
928,95,83,1,7885,10.02685546875
929,96,88,1057,5896,5.455810546875
930,59,57,449,2724,1.966064453125
931,99,75,979,6125,6.02490234375
932,100,53,4,5299,6.133056640625
933,74,73,26,5390,5.64599609375
934,84,73,212,1076,0.6689453125
935,79,52,522,2756,1.864990234375
936,65,77,408,2036,1.242919921875
937,96,57,721,4170,3.734130859375
938,53,68,10,3601,3.985107421875
939,95,78,41,7396,7.97802734375
940,76,95,86,7191,7.80908203125
941,87,79,2,6873,9.363037109375
942,93,83,23,110,0.380859375
943,57,70,5,3990,4.838134765625
944,75,66,9,4948,5.68896484375
945,58,75,1,4350,5.621826171875
946,92,56,655,3631,2.52587890625
947,96,95,1213,6933,6.1279296875
948,53,57,41,3009,2.883056640625
949,86,65,748,4609,4.032958984375
950,82,72,147,721,0.52099609375
951,77,64,51,4906,4.85400390625
952,80,89,622,6785,5.969970703125
953,51,71,455,2670,1.712890625
954,63,57,12,3590,3.93994140625
955,71,70,212,1041,0.615966796875
956,75,58,66,4319,4.156005859375
957,94,61,713,4037,3.527099609375
958,82,83,892,5444,4.76904296875
959,59,70,527,3146,2.1259765625
960,51,99,645,4040,3.56787109375
961,82,82,879,5251,4.64599609375
962,85,87,95,7366,7.77294921875
963,55,69,462,3221,2.826904296875
964,84,92,552,7502,6.68603515625
965,52,52,85,2666,2.317138671875
966,67,60,333,3854,3.341064453125
967,63,69,181,886,0.533935546875
968,67,91,332,5953,5.493896484375
969,81,92,472,7215,6.4169921875
970,63,54,101,518,0.350830078125
971,72,67,195,4758,4.43701171875
972,96,77,942,5163,4.5888671875
973,84,91,34,7626,8.136962890625
974,97,62,123,5971,5.675048828125
975,52,65,54,3365,3.246826171875
976,79,89,233,6944,6.6748046875
977,82,59,627,3834,3.953125
978,83,58,297,1461,0.93505859375
979,64,50,284,1448,0.85986328125
980,54,79,373,4065,3.580810546875
981,97,86,2,8342,10.503173828125
982,84,68,21,5710,6.2021484375
983,93,62,6,5766,6.68701171875
984,67,71,586,4173,3.63818359375
985,92,56,665,4325,3.727783203125
