Problem NumberWidth,Height,Number Islands,Nodes Visited,Time (ms),Max Memory (MiB)
931,74,61,696,3474,1.44189453125
932,60,60,128,3991,2.054931640625
933,53,90,250,5468,2.464111328125
934,91,61,559,6175,2.533935546875
935,73,56,261,4698,2.02685546875
936,55,55,34,3259,1.72998046875
937,63,79,759,3662,1.532958984375
938,68,50,326,3864,1.613037109375
939,60,63,139,4259,2.046875
940,69,64,427,5053,2.08203125
941,58,50,56,3131,1.612060546875
942,50,95,535,2001,0.93115234375
943,77,88,1002,4708,1.98486328125
944,64,69,60,4738,2.6328125
945,81,69,174,6128,3.171875
946,65,81,99,304,0.324951171875
947,81,73,550,6755,2.7900390625
948,95,85,849,8819,3.612060546875
949,57,99,763,3224,1.43212890625
950,85,58,587,2166,0.989990234375
951,76,53,179,568,0.3701171875
952,89,95,33,8809,5.385986328125
953,88,96,256,9306,4.803955078125
954,54,65,5,3641,2.242919921875
955,84,94,113,8388,5.615966796875
956,66,83,337,6400,2.801025390625
957,88,87,763,8611,3.5478515625
958,89,83,141,7907,4.35107421875
959,97,75,1076,6029,2.48388671875
960,66,96,703,2622,1.22314453125
961,98,67,339,1093,0.666015625
962,54,61,464,2444,1.028076171875
963,70,87,956,4485,1.873046875
964,52,58,367,1450,0.65283203125
965,76,99,42,7874,4.781982421875
966,95,85,1216,5527,2.340087890625
967,85,94,896,8645,3.52197265625
968,66,63,565,4235,1.717041015625
969,63,75,436,5329,2.2060546875
970,72,72,669,5454,2.2080078125
971,85,51,278,937,0.51904296875
972,51,70,436,1657,0.7548828125
973,98,61,218,6650,3.365966796875
974,98,70,721,7391,3.0791015625
975,55,98,543,1930,0.94287109375
976,60,69,127,4578,2.39501953125
977,53,78,304,1036,0.553955078125
978,70,50,503,3301,1.343994140625
979,84,97,826,9197,3.7841796875
980,52,65,360,1346,0.635986328125
981,57,67,489,3957,1.594970703125
982,60,79,4,4817,2.974853515625
983,91,91,463,9468,4.410888671875
984,68,73,133,413,0.35595703125
985,61,95,293,967,0.593994140625
986,78,89,122,7387,4.190185546875
987,94,58,783,3807,1.60693359375
988,94,100,1293,5638,2.428955078125
989,76,86,805,6697,2.719970703125
990,95,56,166,5838,3.037109375
991,100,91,481,10420,4.80810546875
992,84,71,354,6874,3.023193359375
993,88,99,1,8712,5.6630859375
994,95,55,498,5975,2.469970703125
995,75,88,100,6971,3.9169921875
996,78,71,728,5523,2.248046875
997,54,51,362,2812,1.14599609375
998,60,93,720,3004,1.43017578125
999,85,61,472,5795,2.471923828125
1000,95,71,461,1534,0.8388671875

Total Tests,Average Width,Average Height,Average Number Islands,Average Nodes Visited,Average Time (ms)
1000,75.158,74.736,483.119,4759.22,2.258526123046875
