Problem NumberWidth,Height,Number Islands,Nodes Visited,Time (ms),Max Memory (MiB)
61,64,55,63,922,0.564208984375
62,73,73,144,1188,0.926025390625
63,89,80,261,982,3.781005859375
64,89,96,392,1971,2.868896484375
65,97,100,56,4116,2.427978515625
66,52,55,106,817,0.56005859375
67,72,99,304,1144,4.906982421875
68,99,86,257,896,4.305908203125
69,91,60,15,5117,3.302001953125
70,53,85,149,1417,1.072998046875
71,97,84,237,1958,1.635986328125
72,81,57,19,3664,2.314208984375
73,55,91,113,1543,1.1298828125
74,82,68,213,1123,1.552001953125
75,66,60,11,3642,2.421142578125
76,71,56,154,1202,0.824951171875
77,99,84,198,645,6.435791015625
78,83,97,29,3706,2.166015625
79,56,65,83,1136,0.6728515625
80,61,98,1,5897,4.180908203125
81,50,75,77,1307,0.7900390625
82,60,56,40,1520,0.81298828125
83,54,79,151,522,2.81884765625
84,60,83,163,1412,1.06591796875
85,79,90,276,1352,2.444091796875
86,85,53,30,922,0.476806640625
87,69,90,175,1766,1.528076171875
88,52,52,85,271,1.56689453125
89,90,56,221,759,2.300048828125
90,64,88,65,2122,1.173095703125
91,52,89,3,4349,3.134033203125
92,65,89,57,2060,1.14404296875
93,96,77,270,1437,1.531982421875
94,83,67,20,4431,2.761962890625
95,56,94,162,1556,1.29296875
96,64,98,17,3909,2.365966796875
97,73,90,54,2594,1.399169921875
98,80,52,5,4072,2.8330078125
99,77,81,204,1580,1.52001953125
100,91,97,17,6903,4.367919921875
101,63,83,202,1325,1.7041015625
102,71,59,131,780,0.68701171875
103,67,78,19,3923,2.423095703125
104,93,80,231,793,4.362060546875
105,57,50,14,2040,1.113037109375
106,84,87,121,2389,1.39794921875
107,88,74,195,664,4.589111328125
108,77,64,152,511,2.725830078125
109,60,92,235,1027,2.198974609375
110,78,79,252,988,2.4619140625
111,88,99,15,7728,5.0830078125
112,57,100,7,5215,3.450927734375
113,64,60,18,2188,1.179931640625
114,70,97,87,2208,1.286865234375
115,82,93,19,4937,2.928955078125
116,53,81,197,689,3.684814453125
117,72,92,160,527,5.68798828125
118,53,71,11,3297,2.152099609375
119,83,66,100,1558,0.9169921875
120,96,96,304,1905,2.489013671875
121,77,77,14,5055,3.306884765625
122,65,98,282,1036,3.369873046875
123,97,83,238,2063,1.756103515625
124,79,84,7,6493,4.35205078125
125,99,85,23,5723,3.47900390625
126,88,68,176,1465,1.1650390625
127,50,73,175,670,1.94384765625
128,71,91,243,884,2.947998046875
129,72,50,19,1794,0.938232421875
130,59,55,48,1021,0.568115234375
131,76,53,8,3724,2.385009765625
132,58,59,78,239,2.10400390625
133,59,82,133,422,3.179931640625
134,70,71,216,1137,1.4228515625
135,62,84,3,5208,3.7158203125
136,93,66,221,853,2.08203125
137,60,68,98,1313,0.8369140625
138,91,56,22,2625,1.364990234375
139,62,70,34,2073,1.1240234375
140,51,51,83,691,0.406982421875
141,72,99,18,5342,3.27099609375
142,63,67,91,1539,0.906005859375
143,73,94,171,1617,1.347900390625
144,73,55,17,2797,1.6708984375
145,81,92,10,6943,4.51904296875
146,96,84,306,1673,2.51611328125
147,98,71,17,6131,3.89306640625
148,53,54,136,707,0.63818359375
149,90,94,10,7886,5.241943359375
150,100,84,289,1145,3.579833984375
151,78,66,40,1428,0.781005859375
152,77,67,234,906,2.22412109375
153,76,85,4,6263,4.47900390625
154,99,62,2,6138,4.406005859375
155,51,66,106,947,0.711181640625
156,100,82,81,1839,1.051025390625
157,95,67,10,5897,3.90185546875
158,59,60,10,2865,1.864013671875
159,80,91,308,1240,3.77001953125
160,76,100,258,895,5.093994140625
161,60,94,275,1159,3.369873046875
162,52,76,113,384,3.268798828125
163,66,77,202,1075,1.15380859375
164,61,77,17,2661,1.48291015625
165,94,64,22,4286,2.502197265625
166,51,71,1,3576,2.51904296875
167,56,55,100,872,0.572021484375
168,88,74,160,1790,1.175048828125
169,51,67,127,864,0.7099609375
170,53,92,93,1634,1.0390625
171,53,53,5,2711,1.81298828125
172,51,88,72,1531,0.940185546875
173,77,77,19,2491,1.291015625
174,76,80,120,1677,1.011962890625
175,89,90,352,1821,2.4091796875
176,97,95,12,7022,5.286865234375
177,67,100,7,6106,4.07421875
178,65,95,160,1519,1.14697265625
